種別,提供元,タイトル,リンク,発行日時,サマリ,エリア(都道府県)
,FBCテレビ福井,初秋を感じながら　三国花火を映像で楽しむ（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200912-00000225-fbc-l18&source=rss,2020-09-12T02:34:03.000Z,今年中止となった三国花火大会を水の壁に投影し楽しむイベントが１１日夜始まり、訪れた人たちを魅了した。このイベントは、坂井市のゆりの里公園運営協議会が開いたもので、今年中止となった三国花火大会をプ,福井県
,FBCテレビ福井,“カッとなって”冨澤容疑者犯行認める供述（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200912-00000149-fbc-l18&source=rss,2020-09-12T01:51:30.000Z,福井市内の住宅で女子高校生が殺害された事件で、殺人の疑いで逮捕された８６歳の祖父が、酒を飲み「カッとなってやった」と供述していることがわかった。（９月１２日）殺人の疑いで逮捕された福井市黒丸城町,福井県
,FBCテレビ福井,「昼カラ」感染ＮＯ　カラオケ喫茶営業再開（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200911-00000389-fbc-l18&source=rss,2020-09-11T08:37:54.000Z,「昼カラ」による新型コロナウイルスの感染拡大で、休業要請を受けていた福井と丹南地区のカラオケ喫茶が、感染予防を徹底して２週間ぶりに営業を再開した。（９月１１日）このうち、鯖江市三六町にある「カラ,福井県
,FBCテレビ福井,恐竜博物館　迫力の恐竜映像で魅力アップへ（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200911-00000390-fbc-l18&source=rss,2020-09-11T07:16:36.000Z,北陸新幹線敦賀開業にあわせて、リニューアルを目指す勝山市の県立恐竜博物館の基本計画がまとまり、展示室の一面に恐竜を映し出す仕掛けなどで観光客をもてなす予定。（９月１１日）計画では、県立恐竜博物館,福井県
,FBCテレビ福井,女子高校生の孫を殺害　８６歳祖父を逮捕（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200911-00000205-fbc-l18&source=rss,2020-09-11T03:07:36.000Z,福井市の住宅で女子高校生が遺体で発見された事件で、警察は１０日、同居する８６歳の祖父を殺人の疑いで逮捕した。（９月１１日）逮捕されたのは、福井市黒丸城町の無職、冨澤進容疑者８６歳。警察の調べ,福井県
,FBCテレビ福井,福井市の住宅に女子高生の遺体　警察が捜査（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200910-00000521-fbc-l18&source=rss,2020-09-10T10:03:53.000Z,福井市内の住宅で女子高校生が遺体で発見された。遺体の胸に刺し傷があったほか現場には刃物が残っており、警察は親族による殺人事件と見て捜査を進めている。（９月１０日）女子高校生の遺体が発見されたのは,福井県
,FBCテレビ福井,地元の海の幸が学校給食のメニューに（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200910-00000408-fbc-l18&source=rss,2020-09-10T07:36:09.000Z,福井の地魚をメニューに盛り込んだ学校給食の提供が始まっていて、県内の児童や生徒たちが地元の海の幸を味わっている。（９月１０日）県は今年の６月補正予算で、新型コロナの影響で消費の落ち込んだ県産のコ,福井県
,FBCテレビ福井,ちょうちん１００個　インスタ映えで人気（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200910-00000411-fbc-l18&source=rss,2020-09-10T07:23:19.000Z,名水のまち大野市のシンボルになっている御清水で、カラフルなちょうちんの灯かりが夜の観光地を彩っている。（９月１０日）このライトアップは大野市観光協会が行っているもので、大野市の御清水には８色のち,福井県
,FBCテレビ福井,ボリビアリスザル赤ちゃん愛らしい姿が人気（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200910-00000451-fbc-l18&source=rss,2020-09-10T02:33:52.000Z,手のひら程の大きさのボリビアリスザルの赤ちゃんが鯖江市の動物園で誕生し、今は母親ザルから離れない愛らしい姿を楽しめる。（９月１０日）鯖江市の西山動物園では、今月５日にボリビアリズザルの赤ちゃん１,福井県
,FBCテレビ福井,福井市の大学が地区住民の一時避難所に（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200909-00000408-fbc-l18&source=rss,2020-09-09T08:18:58.000Z,福井医療大学が地元の宮ノ下地区と災害時の協力協定を結び、講義室や体育館が一時避難場所になる。（９月９日）福井医療大学が福井市の宮ノ下地区と結んだ災害時の協力協定は、キャンパスを一時避難所にするた,福井県
